platform,post_id,post_type,post_content,post_timestamp,likes,comments,shares,impressions,reach,engagement_rate,audience_age,audience_gender,audience_location,audience_interests,campaign_id,sentiment,influencer_id
LinkedIn,d49dadb4-fc1e-4775-88ad-d60b75cf5123,Video,Want that according same wish.,04/23/2021 08:19:49,415,77,85,2619,1842,31.32,29,Other,United Kingdom,respond,,Negative,
Instagram,16ce29c5-2dc7-478f-9814-a86754f3ce8b,Video,Increase fast partner south.,07/30/2023 06:40:06,908,125,85,1223,3884,28.78,48,Male,Greece,population,,Neutral,
Instagram,6a6cc741-72f4-4111-95a0-c5ee04a175a8,Video,Lawyer behavior born window couple sister.,12/05/2021 03:56:53,412,419,58,2165,849,104.71,55,Male,United States Virgin Islands,himself,,Neutral,
Twitter,0b5a3e70-c556-43cb-ad4f-a1d0003348bc,Image,Street great decade must.,09/28/2021 20:39:00,667,153,29,7191,3519,24.13,54,Other,Zambia,safe,,,
Facebook,a7d3e958-e2fe-411e-a24a-b96e821fc050,Link,At clear meeting with reason ground continue contain.,02/27/2023 17:51:21,659,215,34,3312,2032,44.69,33,Other,Afghanistan,well,6052b8d2-3403-4447-b0b4-c5ce20e6c8d0,,
Facebook,0922ea18-ea90-4302-b126-bd95f85a0926,Video,Vote American state change simply cup.,11/23/2021 08:32:30,510,438,110,3871,2667,39.67,59,Female,Djibouti,she,2b568bef-54b5-43e2-a5f7-c1ae802b0547,Neutral,
Instagram,0510219c-c413-4203-a9c6-e176a299ce10,Link,Community seek Republican cold though ability understand event.,09/28/2022 06:32:05,874,239,91,5681,1553,77.53,41,Other,Jamaica,family,,Neutral,
LinkedIn,c394636e-4e5c-4453-b096-597e530bd4eb,Link,Win guess me report true.,07/27/2023 06:32:01,627,135,90,9436,1498,56.88,63,Other,Gibraltar,keep,,Neutral,
LinkedIn,75142995-8ed2-419d-9632-72a0b631175b,Link,Action other would side.,01/04/2023 16:22:21,1000,378,94,8539,3695,39.84,23,Male,Estonia,number,,,
Twitter,aeaed62e-bfa7-4f81-aea7-3ce2413ac473,Video,Usually personal small create.,07/18/2021 07:55:37,573,135,8,6769,2508,28.55,46,Other,Guatemala,main,,Positive,
Facebook,a30c948b-0fb3-4e92-95da-e2dea184f568,Link,Floor glass bring indicate seem detail.,06/19/2022 14:15:59,604,29,2,1386,1831,34.68,33,Female,Lao People's Democratic Republic,attorney,98705a1e-2573-4cb8-983b-2112d4b140c9,,
Twitter,aee74d06-c775-459c-8fc4-013ce25644f1,Image,Customer stop language everybody rest chance me.,06/04/2022 06:19:50,288,230,56,2516,3927,14.62,23,Other,Jordan,affect,,Positive,
Instagram,80415748-a509-4fc6-8b55-74f2babe5dac,Image,Town find identify game your.,05/12/2022 15:41:21,870,92,15,1377,4829,20.23,48,Male,Sudan,money,6b15bf9b-14cc-4ab9-9168-56322057b61e,Positive,
Instagram,4455db75-4f0c-4781-b2bc-92534300689b,Link,Reduce theory upon else someone significant which century.,03/14/2022 00:27:10,322,195,146,7970,3477,19.07,47,Female,Nepal,however,,Negative,
Twitter,224cc707-0522-41ce-a614-59ff5a958ac4,Image,Head story away lot government last skin him.,08/01/2023 20:46:36,387,30,55,4249,2901,16.27,63,Male,Kazakhstan,message,,,
Twitter,5bd6ec09-6522-43c5-9e80-d0a027a27387,Image,Machine language mention between view meeting eye.,02/05/2022 12:47:41,416,271,44,3250,2101,34.79,24,Female,Macao,rest,d69e6171-e44b-4588-b52e-2816900af9bc,,
Facebook,155695e8-1195-46bb-b5c3-0d93d8ecbb23,Link,Ground board after read.,11/08/2023 14:06:20,632,267,58,4463,3020,31.69,33,Male,United States Minor Outlying Islands,page,,Neutral,
Facebook,11e4a8bf-1afe-468b-81e0-bbfe18cd4e22,Video,Friend education author care evidence.,03/30/2023 16:18:46,759,95,21,3135,2284,38.31,57,Female,Armenia,natural,,,
Instagram,12ed0666-b7ef-41ba-95e0-301508cefb74,Link,Half see campaign many door increase animal.,11/08/2021 16:18:39,210,49,86,9224,3443,10.02,65,Female,Slovakia (Slovak Republic),north,,Neutral,
Twitter,4b98c0d9-4930-4d90-9608-dbbdfb5ad4cd,Link,Market challenge something side issue animal that stuff.,08/17/2021 04:23:04,843,302,140,5753,678,189.53,56,Other,Oman,speech,,Negative,
Facebook,c5799bc4-30fc-4323-a871-30137bac0810,Link,Game painting interesting travel experience dinner mission.,02/02/2023 15:52:12,872,169,21,6165,1726,61.53,35,Other,China,focus,9735cf39-7657-484c-88ab-1e2bb79c7de7,Negative,
Instagram,536441ad-4b93-4ad0-8dc3-fea0d05b1e0a,Image,Themselves evidence rate husband fact.,05/03/2022 19:33:24,807,325,194,3399,668,198.5,49,Other,Sierra Leone,evidence,,,
